Fuel_Type,Body_Type,Transmission,Number_of_Owners,Car_Model,Price,Registration_Year,Seats,Kms_Driven,mileage(kmpl),max_power(bhp),Power Steering,Air Conditioner,Heater,Centeral Locking,Child Safety Locks,Anti Theft Device
1,1,1,2,15,925000.0,2016,5,35000,19.6,108.45,1,1,1,1,1,1
0,2,1,2,13,1024000.0,2020,5,51116,18.0,117.6,1,1,1,1,1,1
1,2,0,3,36,500000.0,2016,5,80000,21.14,103.52,1,1,1,1,1,1
0,1,1,2,67,935000.0,2012,5,85565,11.1,158.8,1,1,1,1,0,0
0,1,0,1,1,834000.0,2018,5,36916,17.0,121.36,1,1,1,1,1,1
1,0,0,1,42,560000.0,2015,5,90000,20.14,88.8,1,1,1,1,1,1
0,0,0,1,14,454000.0,2012,5,112795,22.38,88.5,1,1,1,1,1,0
0,2,1,1,68,1758500.0,2021,5,11000,0.0,0.0,1,1,1,1,1,1
0,3,0,2,69,1100000.0,2014,7,120000,11.4,130.1,1,1,1,1,1,0
0,0,0,2,49,462000.0,2016,5,36685,19.4,86.8,1,1,1,1,1,1
0,2,1,1,70,1758500.0,2022,4,4000,13.32,254.79,1,1,1,1,1,1
0,0,1,2,24,843000.0,2019,5,32184,21.4,83.1,1,1,1,1,1,1
0,0,0,1,71,799000.0,2019,5,32279,21.1,100.5,1,1,1,1,1,1
0,0,0,1,11,576000.0,2015,5,59698,18.6,81.83,1,1,1,1,1,1
1,1,0,1,72,949000.0,2018,5,46071,20.37,108.45,1,1,1,1,1,1
0,1,1,1,5,1758500.0,2022,5,14000,14.1,160.77,1,1,1,1,1,1
1,1,0,2,15,516000.0,2013,5,74499,20.45,83.8,1,1,1,1,1,1
0,1,1,2,1,777000.0,2017,5,56211,14.8,121.36,1,1,1,1,1,1
0,0,0,1,9,753000.0,2019,5,9001,18.2,88.7,1,1,1,1,1,1
1,1,1,2,10,1226000.0,2017,7,65457,16.0,140.0,1,1,1,1,1,1
0,0,0,1,9,725000.0,2017,5,23682,18.7,88.7,1,1,1,1,1,1
1,2,0,1,64,1150000.0,2020,5,50000,22.0,126.2,1,1,1,1,1,1
1,0,0,2,14,629000.0,2015,5,134557,25.2,74.0,1,1,1,1,1,1
0,0,0,3,0,400000.0,2015,5,120000,23.1,67.04,1,1,1,1,1,1
1,3,0,2,20,786000.0,2015,7,83007,20.77,88.8,1,1,1,1,1,1
0,0,0,1,9,745000.0,2018,5,34000,18.7,88.7,1,1,1,1,1,1
0,0,1,1,8,490000.00000000006,2014,5,81634,18.9,82.0,1,1,1,1,1,1
0,2,1,2,13,942000.0,2017,5,57284,18.0,117.6,1,1,1,1,1,1
0,1,1,2,1,675000.0,2016,5,70000,15.63,110.4,1,1,1,1,1,1
0,0,0,2,49,330000.0,2013,5,70000,19.4,86.8,1,1,1,1,1,1
0,2,1,2,54,875000.0,2018,5,46429,17.8,105.5,1,1,1,1,1,1
0,0,0,1,24,869000.0,2018,5,17624,21.4,83.1,1,1,1,1,1,1
1,2,0,2,53,425000.0,2012,5,100000,20.54,103.6,1,1,1,1,1,1
0,1,0,2,1,1025000.0,2018,5,49690,15.9,120.69,1,1,1,1,1,1
1,1,0,1,10,1000000.0,2016,7,110000,16.0,140.0,1,1,1,1,1,1
0,2,0,1,73,375000.0,2009,5,50000,16.0,0.0,1,1,1,1,1,0
0,2,0,1,73,375000.0,2009,5,50000,16.0,0.0,1,1,1,1,1,0
0,1,1,1,1,844000.0,2018,5,55702,14.8,121.36,1,1,1,1,1,1
1,0,0,1,74,764000.0,2016,5,45046,21.19,88.73,1,1,1,1,1,1
0,0,0,2,41,420000.0,2014,5,53000,18.5,85.8,1,1,1,1,1,1
1,0,0,1,24,684000.0,2016,5,94695,27.39,74.0,1,1,1,1,1,1
0,0,0,1,24,802999.9999999999,2019,5,22162,21.4,83.1,1,1,1,1,1,1
0,0,0,2,75,320000.0,2010,5,70000,17.92,62.1,1,1,1,1,1,1
1,2,0,1,13,803999.9999999999,2018,5,115331,26.0,98.6,1,1,1,1,1,1
0,0,0,2,14,548000.0,2016,5,42233,22.38,88.5,1,1,1,1,1,0
0,0,0,1,8,619000.0,2019,5,20941,18.9,81.86,1,1,1,1,1,1
1,1,0,2,76,1000000.0,2018,5,50000,24.3,88.5,1,1,1,1,1,1
0,1,0,1,77,865000.0,2018,5,46602,17.5,88.7,1,1,1,1,1,1
1,1,1,2,78,1000000.0,2014,7,50000,11.18,184.0,1,1,1,1,1,1
1,0,0,2,14,535000.0,2014,5,104000,25.2,74.0,1,1,1,1,1,1
1,1,0,1,1,975000.0,2018,5,90000,23.0,98.96,1,1,1,1,1,1
0,0,0,1,24,699000.0,2017,5,50035,21.4,83.1,1,1,1,1,1,1
0,0,0,2,11,625000.0,2015,5,90000,18.6,81.83,1,1,1,1,1,1
1,2,1,4,17,1000000.0,2011,5,90000,14.21,203.0,1,1,1,1,1,0
0,2,0,1,7,893000.0,2021,5,25022,20.65,103.25,1,1,1,1,1,0
1,0,0,2,14,420000.0,2012,5,100000,22.9,74.0,1,1,1,1,1,0
0,2,0,1,7,941000.0,2020,5,26367,20.65,103.25,1,1,1,1,1,0
0,2,1,2,25,630000.0,2015,5,76567,14.5,147.5,1,1,1,1,1,1
0,0,1,2,8,525000.0,2015,5,36459,18.9,82.0,1,1,1,1,1,1
1,1,0,1,4,750000.0,2016,5,93725,23.65,88.5,1,1,1,1,1,1
